title,所在地,備考,lat,lng,,,,
しながわ区民公園野球場,東京都品川区勝島3-2-2,品川区勝島3-2-2 京浜急行　立会川駅、大森海岸駅から徒歩約5分公園内には、しながわ水族館、野球場、庭球場、ディキャンプ場、プール(夏季)あり。,35.5944787,139.7402054,,,,
東品川公園庭球場,東京都品川区東品川3-14-9,品川区東品川3-14-9身障者用トイレや車椅子で遊べる遊具等、障害者への配慮が数多くなされている。弓道場、テニスコート2面、噴水,35.6143635,139.7461634,,,,
八潮北公園庭球場,東京都品川区八潮1-3-1,品川区八潮1-3-1,35.6129967,139.7540129,,,,
しながわ区民公園庭球場,東京都品川区勝島3-2-2,品川区勝島3-2-2 野球場、庭球場ディキャンプ場あり,35.5936557,139.7393529,,,,
しながわ中央公園庭球場,東京都品川区西品川1-27,品川区西品川1-27噴水や流れ、ロックガーデンがある広場、トリム広場がある新しい公園グラウンド、テニス場あり,35.6097377,139.7279341,,,,
大井ふ頭中央海浜公園,東京都品川区八潮4-1-19,品川区八潮4-1-19,35.5925026,139.7522894,,,,
東品川公園弓道場,東京都品川区東品川3-14-9,品川区東品川3-14-9,35.6140525,139.7460328,,,,
大井ふ頭中央海浜公園陸上競技場・球技場,東京都品川区八潮4-1-19,品川区八潮4-1-19,35.5940313,139.7538181,,,,
しながわ区民公園デイキャンプ場,東京都品川区勝島3-2-2,品川区勝島3-2-2 野球場、テニス場ディキャンプ場あり,35.5928626,139.7386287,,,,
大井ふ頭野外活動広場,東京都品川区八潮2-1,品川区八潮2-1,35.6126052,139.7600531,,,,
都立林試の森公園,東京都品川区小山台2,品川区小山台2丁目地内,35.624815,139.7009359,,,,
戸越公園,東京都品川区豊町2-1-30,品川区豊町2-1-30,35.6105921,139.7223832,,,,
池田山公園,東京都品川区東五反田5-4-35,品川区東五反田5-4-35,35.6323459,139.7236052,,,,
五反田公園,東京都品川区東五反田5-4-35,品川区東五反田5-25-27・5-24-6,35.6278208,139.7237145,,,,
子供の森公園,東京都品川区北品川3-10-13,品川区北品川3-10-13,35.6166914,139.7381085,,,,
東品川海上公園,東京都品川区東品川2-6-22,品川区東品川2-6-22、東品川3-9-21,35.6186916,139.7491971,,,,
権現山公園,東京都品川区北品川3-9-5,品川区北品川3-9-5,35.6187142,139.7376057,,,,
八ッ山公園,東京都品川区北品川1-14-7,品川区北品川1-14-7港区境近く、東八ッ山公園に隣接する休憩施設中心の小さな公園。公園東側には「しながわ百景」に選ばれた稲荷堂があり、その周囲は和風に整備されている。,35.6247364,139.7430093,,,,
聖蹟公園,東京都品川区北品川2-7-21,品川区北品川2-7-21,35.6189521,139.7443715,,,,
東品川公園,東京都品川区東品川3-14-9,品川区東品川3-14-9,35.614099,139.7463244,,,,
天王洲公園,東京都品川区東品川2-5-42,品川区東品川2-5-42、東品川2-6-23,35.6204067,139.7499533,,,,
五反田南公園,東京都品川区東五反田2-1-14,品川区東五反田2-1-14,35.6246215,139.7251167,,,,
東八ツ山公園,東京都品川区北品川1-15-11,品川区北品川1-15-11,35.6246366,139.7436804,,,,
品川浦公園,東京都品川区東品川1-7-17,品川区東品川1-7-17,35.6211219,139.7422478,,,,
東海公園,東京都品川区東品川3-29-6,品川区東品川3-29-6,35.6130943,139.7492899,,,,
品海公園,東京都品川区北品川1-30-9,品川区北品川1-30-9,35.6202825,139.7425247,,,,
北品川公園,東京都品川区北品川2-12-5,品川区北品川2-12-5,35.6187939,139.7418989,,,,
東海第二公園,東京都品川区東品川3-17-15,品川区東品川3-17-15,35.6141392,139.7501659,,,,
上大崎公園,東京都品川区上大崎1-3-13,品川区上大崎1-3-13,35.6344771,139.7220198,,,,
そよかぜ公園,東京都品川区西品川2-17-8,品川区西品川2-17-8,35.6119056,139.726801,,,,
希望ケ丘公園,東京都品川区上大崎3-10-25,品川区上大崎3-10-25,35.6316661,139.7181967,,,,
東品川一丁目公園,東京都品川区東品川1-2-11,品川区東品川1-2-11,35.6228223,139.7439585,,,,
西五反田公園,東京都品川区西五反田5-6-4,品川区西五反田5-6-4,35.6240105,139.7154566,,,,
大崎公園,東京都品川区大崎5-5-17,品川区大崎5-5-17,35.6229714,139.7242114,,,,
西の台公園,東京都品川区西品川1-4-8,品川区西品川1-4-8,35.6140173,139.7292998,,,,
横丁公園,東京都品川区南品川5-4-9,品川区南品川5-4-9,35.6104742,139.7416732,,,,
二日市公園,東京都品川区南品川6-7-15,品川区南品川6-7-15,35.6114153,139.7392199,,,,
洲崎公園,東京都品川区東品川1-36-15,品川区東品川1-36-15,35.6181179,139.7464779,,,,
敬老公園,東京都品川区東品川3-32-8,品川区東品川3-32-8,35.6125913,139.7504909,,,,
西八丁公園,東京都品川区西五反田8-11-4,品川区西五反田8-11-4,35.6198083,139.7192194,,,,
